iter	Passed	Remaining
0	1	134
1	2	120
2	3	119
3	4	110
4	5	107
5	6	106
6	8	112
7	9	111
8	10	109
9	11	107
10	13	105
11	14	105
12	15	104
13	17	106
14	18	106
15	19	104
16	21	103
17	22	101
18	23	99
19	26	105
20	27	103
21	28	101
22	29	100
23	30	98
24	32	96
25	33	94
26	34	93
27	36	93
28	37	92
29	38	90
30	39	88
31	40	86
32	42	85
33	43	83
34	44	82
35	46	81
36	47	80
37	48	78
38	49	77
39	50	75
40	53	77
41	54	74
42	55	73
43	56	72
44	57	70
45	59	69
46	60	68
47	61	66
48	62	65
49	63	63
50	65	62
51	66	61
52	67	59
53	68	58
54	69	56
55	70	55
56	71	54
57	72	52
58	73	51
59	74	49
60	75	48
61	76	47
62	77	45
63	79	44
64	80	43
65	81	42
66	82	40
67	83	39
68	84	38
69	85	36
70	87	35
71	89	34
72	90	33
73	91	32
74	93	31
75	95	30
76	96	28
77	98	27
78	99	26
79	100	25
80	101	23
81	102	22
82	103	21
83	104	19
84	105	18
85	107	17
86	108	16
87	109	14
88	110	13
89	111	12
90	112	11
91	114	9
92	115	8
93	116	7
94	117	6
95	118	4
96	120	3
97	121	2
98	122	1
99	123	0
