iter	Passed	Remaining
0	1364	1363399
1	1366	681725
2	1367	454505
3	1368	340853
4	1370	272646
5	1371	227271
6	1373	194832
7	1374	170466
8	1378	151754
9	1379	136576
10	1380	124142
11	1381	113776
12	1383	105046
13	1384	97542
14	1386	91018
15	1389	85442
16	1390	80425
17	1392	75950
18	1393	71950
19	1394	68349
20	1396	65086
21	1397	62123
22	1398	59420
23	1400	56943
24	1402	54710
25	1404	52618
26	1405	50668
27	1407	48861
28	1409	47182
29	1410	45613
30	1412	44142
31	1413	42765
32	1415	41478
33	1417	40277
34	1419	39126
35	1420	38044
36	1422	37019
37	1424	36051
38	1425	35134
39	1427	34260
40	1428	33424
41	1431	32659
42	1433	31905
43	1435	31182
44	1436	30488
45	1438	29823
46	1439	29189
47	1441	28585
48	1442	28003
49	1444	27445
50	1446	26907
51	1447	26388
52	1450	25910
53	1451	25436
54	1453	24976
55	1455	24535
56	1457	24109
57	1459	23702
58	1460	23301
59	1462	22911
60	1464	22541
61	1466	22181
62	1467	21826
63	1469	21485
64	1470	21154
65	1471	20829
66	1473	20512
67	1474	20204
68	1475	19907
69	1476	19618
70	1477	19338
71	1480	19086
72	1482	18822
73	1483	18563
74	1484	18310
75	1485	18063
76	1487	17824
77	1488	17593
78	1489	17366
79	1490	17144
80	1492	16927
81	1496	16752
82	1497	16542
83	1498	16341
84	1499	16143
85	1500	15951
86	1502	15764
87	1503	15580
88	1504	15402
89	1506	15229
90	1507	15057
91	1510	14911
92	1512	14747
93	1513	14588
94	1514	14431
95	1516	14275
96	1516	14121
97	1517	13969
98	1518	13820
99	1519	13675
100	1520	13533
101	1521	13393
102	1522	13259
103	1525	13145
104	1526	13015
105	1528	12887
106	1529	12761
107	1530	12637
108	1531	12518
109	1532	12399
110	1533	12281
111	1534	12165
112	1535	12050
113	1536	11938
114	1536	11827
115	1539	11731
116	1540	11625
117	1541	11522
118	1542	11418
119	1543	11317
120	1544	11217
121	1544	11117
122	1545	11021
123	1546	10926
124	1547	10833
125	1548	10741
126	1549	10650
127	1550	10562
128	1551	10477
129	1554	10404
130	1555	10320
131	1556	10237
132	1558	10158
133	1559	10080
134	1560	10001
135	1561	9923
136	1563	9846
137	1564	9771
138	1565	9698
139	1567	9626
140	1568	9555
141	1569	9481
142	1570	9411
143	1571	9342
144	1572	9273
145	1573	9206
146	1575	9140
147	1576	9076
148	1578	9013
149	1579	8950
150	1580	8888
151	1583	8831
152	1584	8770
153	1585	8710
154	1586	8650
155	1588	8591
156	1589	8533
157	1590	8476
158	1592	8421
159	1593	8366
160	1594	8308
161	1597	8262
162	1598	8207
163	1599	8154
164	1601	8103
165	1602	8050
166	1603	7998
167	1605	7949
168	1606	7898
169	1607	7849
170	1609	7802
171	1612	7762
172	1613	7715
173	1615	7668
174	1616	7621
175	1619	7579
176	1620	7534
177	1621	7488
178	1622	7442
179	1623	7397
180	1627	7362
181	1628	7319
182	1629	7276
183	1631	7233
184	1632	7191
185	1633	7150
186	1635	7108
187	1636	7068
188	1637	7028
189	1639	6987
190	1641	6953
191	1643	6914
192	1644	6875
193	1645	6837
194	1647	6799
195	1648	6761
196	1649	6724
197	1650	6687
198	1652	6649
199	1653	6613
200	1655	6582
201	1657	6546
202	1658	6510
203	1659	6475
204	1660	6440
205	1661	6405
206	1663	6371
207	1664	6337
208	1665	6303
209	1666	6270
210	1667	6237
211	1669	6204
212	1670	6173
213	1672	6141
214	1673	6110
215	1674	6079
216	1676	6048
217	1677	6016
218	1678	5985
219	1679	5955
220	1681	5926
221	1682	5896
222	1685	5873
223	1687	5844
224	1688	5816
225	1689	5787
226	1691	5758
227	1692	5730
228	1693	5701
229	1694	5672
230	1695	5643
231	1696	5615
232	1697	5586
233	1700	5565
234	1701	5538
235	1702	5511
236	1703	5483
237	1704	5456
238	1704	5428
239	1705	5401
240	1706	5375
241	1707	5349
242	1709	5325
243	1710	5299
244	1711	5273
245	1712	5247
246	1713	5224
247	1715	5200
248	1716	5176
249	1717	5152
250	1718	5128
251	1719	5104
252	1720	5081
253	1721	5057
254	1722	5033
255	1723	5010
256	1752	5065
257	1753	5042
258	1754	5019
259	1755	4996
260	1756	4973
261	1757	4951
262	1759	4929
263	1761	4911
264	1763	4889
265	1764	4868
266	1765	4847
267	1766	4825
268	1767	4803
269	1768	4782
270	1769	4761
271	1771	4740
272	1772	4720
273	1773	4699
274	1776	4682
275	1777	4662
276	1778	4642
277	1779	4622
278	1781	4602
279	1782	4582
280	1783	4562
281	1784	4542
282	1785	4523
283	1786	4503
284	1787	4484
285	1788	4465
286	1791	4450
287	1792	4432
288	1794	4414
289	1795	4395
290	1797	4378
291	1799	4363
292	1801	4346
293	1802	4328
294	1805	4315
295	1807	4299
296	1809	4282
297	1811	4266
298	1812	4249
299	1813	4232
300	1815	4215
301	1815	4197
302	1819	4185
303	1821	4169
304	1822	4152
305	1823	4135
306	1825	4119
307	1826	4104
308	1828	4088
309	1829	4072
310	1832	4058
311	1834	4044
312	1835	4027
313	1836	4012
